Well,SEEDID,Growth
D3,cpd01293,0
A3,cpd00075,1
G1,cpd00309,1
B1,cpd00053,1
E2,cpd03161,0
B9,cpd00129,1
B2,cpd00033,1
A4,cpd00209,1
A9,cpd00132,1
C1,cpd00069,1
H1,cpd11593,1
F12,cpd00246,1
D8,cpd00591,0
F4,cpd00367,1
A10,cpd00041,1
C6,cpd00186,0
E4,cpd03734,0
H3,cpd11586,1
F1,cpd00492,0
F3,cpd00182,1
C2,cpd00156,1
F10,cpd00092,0
B4,cpd00322,1
H6,cpd11583,1
A7,cpd00035,1
A5,cpd00073,-1
A11,cpd00084,0
G8,cpd00281,1
C7,cpd00549,0
E11,cpd00122,1
F9,cpd00184,0
E12,cpd00832,0
C4,cpd01308,0
C10,cpd00274,1
C9,cpd03840,0
F6,cpd00207,0
C3,cpd00117,1
C8,cpd00550,1
H4,cpd11585,1
C12,cpd00064,1
H12,cpd11590,1
C11,cpd00227,1
G3,cpd00300,1
E3,cpd00374,0
D9,cpd00162,1
D1,cpd00477,0
F11,cpd00249,0
E9,cpd01524,0
B6,cpd00039,-1
H9,cpd11580,1
A12,cpd00023,-1
B7,cpd00060,0
E1,cpd00312,0
E8,cpd00276,0
G7,cpd01573,1
C5,cpd00320,0
A6,cpd03963,0
H10,cpd11592,1
H5,cpd11584,1
H8,cpd11581,1
E5,cpd00378,0
G5,cpd01092,1
B11,cpd00161,1
B8,cpd00066,1
A2,cpd00013,-1
A8,cpd00051,1
B12,cpd00065,0
D4,cpd00165,0
B5,cpd00107,1
H7,cpd11582,1
F5,cpd00307,0
D11,cpd00118,1
B10,cpd00054,-1
E10,cpd02241,0
H2,cpd11587,1
G9,cpd01588,1
F2,cpd00128,0
B3,cpd00119,1
H11,cpd11591,1
D5,cpd00187,0
G2,cpd01217,1
F8,cpd00151,0
G11,cpd00339,1
D12,cpd00152,1
D10,cpd24433,0
D6,cpd24432,0
D7,cpd19969,0
G10,cpd24436,0
D2,cpd24431,0
G12,cpd01258,0
E7,cpd23860,0
E6,cpd26269,1
G4,cpd24434,0
G6,cpd24435,1
