Well	SEEDID
D3	cpd01293
A3	cpd00075
G1	cpd00309
B1	cpd00053
E2	cpd03161
B9	cpd00129
B2	cpd00033
A4	cpd00209
A9	cpd00132
C1	cpd00069
H1	cpd11593
F12	cpd00246
D8	cpd00591
F4	cpd00367
A10	cpd00041
C6	cpd00186
E4	cpd03734
H3	cpd11586
F1	cpd00492
F3	cpd00182
C2	cpd00156
F10	cpd00092
B4	cpd00322
H6	cpd11583
A7	cpd00035
A5	cpd00073
A11	cpd00084
G8	cpd00281
C7	cpd00549
E11	cpd00122
F9	cpd00184
E12	cpd00832
C4	cpd01308
C10	cpd00274
C9	cpd03840
F6	cpd00207
C3	cpd00117
C8	cpd00550
H4	cpd11585
C12	cpd00064
H12	cpd11590
C11	cpd00227
G3	cpd00300
E3	cpd00374
D9	cpd00162
D1	cpd00477
F11	cpd00249
E9	cpd01524
B6	cpd00039
H9	cpd11580
A12	cpd00023
B7	cpd00060
E1	cpd00312
E8	cpd00276
G7	cpd01573
C5	cpd00320
A6	cpd03963
H10	cpd11592
H5	cpd11584
H8	cpd11581
E5	cpd00378
G5	cpd01092
B11	cpd00161
B8	cpd00066
A2	cpd00013
A8	cpd00051
B12	cpd00065
D4	cpd00165
B5	cpd00107
H7	cpd11582
F5	cpd00307
D11	cpd00118
B10	cpd00054
E10	cpd02241
H2	cpd11587
G9	cpd01588
F2	cpd00128
B3	cpd00119
H11	cpd11591
D5	cpd00187
G2	cpd01217
F8	cpd00151
G11	cpd00339
D12	cpd00152
